K,top_m,selected_archetypes,selected_archetypes_str
10,1,[3],[3]
10,2,"[3, 2]","[3, 2]"
10,3,"[3, 2, 1]","[3, 2, 1]"
10,4,"[3, 2, 1, 0]","[3, 2, 1, 0]"
10,5,"[3, 2, 1, 0, 4]","[3, 2, 1, 0, 4]"
25,1,[2],[2]
25,2,"[2, 5]","[2, 5]"
25,3,"[2, 5, 7]","[2, 5, 7]"
25,4,"[2, 5, 7, 4]","[2, 5, 7, 4]"
25,5,"[2, 5, 7, 4, 8]","[2, 5, 7, 4, 8]"
50,1,[5],[5]
50,2,"[5, 7]","[5, 7]"
50,3,"[5, 7, 9]","[5, 7, 9]"
50,4,"[5, 7, 9, 4]","[5, 7, 9, 4]"
50,5,"[5, 7, 9, 4, 8]","[5, 7, 9, 4, 8]"
75,1,[7],[7]
75,2,"[7, 6]","[7, 6]"
75,3,"[7, 6, 13]","[7, 6, 13]"
75,4,"[7, 6, 13, 9]","[7, 6, 13, 9]"
75,5,"[7, 6, 13, 9, 10]","[7, 6, 13, 9, 10]"
100,1,[18],[18]
100,2,"[18, 9]","[18, 9]"
100,3,"[18, 9, 17]","[18, 9, 17]"
100,4,"[18, 9, 17, 10]","[18, 9, 17, 10]"
100,5,"[18, 9, 17, 10, 8]","[18, 9, 17, 10, 8]"
